Data File	C:\Users\User\Documents\OmniSEC Data\System 1\Standards_and_Kreith_June2020\2020-06-23_18;45;05_PEO_Std_green_01.vdt
Sample ID	PEO_Std_green
Method File Name	calibration_june_2020_2-0001.vcm
Date Acquired	Jun 23, 2020 - 18:45:05
Solvent	water+NaN3+NaNO3
Operator	admin : Administrator
Column Set	A6000M+A4000
System	System 1
Flow Rate (ml/min)	 0.700
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00233
Det. Temp (Deg C)	30.000
Col. Temp (Deg C)	30.000

Ret. Vol.	RI	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0,49233	18,632	25,727	87,207	-81,515	44,07483					
0,49467	18,586	25,697	87,100	-81,515	44,07666					
0,49700	18,601	25,666	87,069	-81,439	44,07666					
0,49933	18,662	25,666	87,100	-81,378	44,07849					
0,50167	18,677	25,697	87,085	-81,362	44,08032					
0,50400	18,677	25,727	87,069	-81,347	44,08459					
0,50633	18,677	25,727	87,161	-81,408	44,08887					
0,50867	18,693	25,681	87,161	-81,484	44,09436					
0,51100	18,647	25,651	87,100	-81,515	44,09680					
0,51333	18,647	25,666	87,115	-81,530	44,09925					
0,51567	18,647	25,605	87,069	-81,606	44,10047					
0,51800	18,662	25,590	87,054	-81,545	44,10352					
0,52033	18,662	25,651	87,024	-81,545	44,10413					
0,52267	18,662	25,666	87,039	-81,515	44,10657					
0,52500	18,662	25,620	87,008	-81,530	44,11023					
0,52733	18,662	25,651	87,054	-81,500	44,11267					
0,52967	18,677	25,697	87,024	-81,515	44,11267					
0,53200	18,662	25,697	87,085	-81,484	44,11267					
0,53433	18,677	25,697	87,069	-81,500	44,11084					
0,53667	18,662	25,742	87,054	-81,454	44,10840					
0,53900	18,677	25,697	87,069	-81,408	44,10657					
0,54133	18,662	25,681	87,069	-81,423	44,10596					
0,54367	18,677	25,666	87,039	-81,408	44,10535					
